ID_PROJETO	NUM_PROCESSO	TITULO	CLASSIFICACAO	AVALIACAO	DT_REGISTRO	DT_INICIAL	DT_CONCLUSAO	VL_PREVISTO	DT_ULTIMA_AVAL	SITUACAO	RESPONSAVEL	NOME	DEPTO	NOME_DEPTO	PALAVRAS_CHAVES	FUNDACAO_APOIO	SUPERVISOR_FINANCEIRO	EVENTO	TIPO_PUBLICO_ALVO	PUBLICO_ALVO	PUBLICO_ENVOLVIDO	CENTRO	PAGA_BOLSA										
19090	16613	AGROTOXICOS NO MANEJO INTEGRADO - USO E APLICA«’ES	Extens„o	Avaliado fora do prazo	16/09/2004	13/09/2004	15/09/2004	6300	21/03/2006	ConcluÌdo/Publicado	7379213 - JERSON VANDERLEI CAR⁄S GUEDES	JERSON VANDERLEI CAR⁄S GUEDES	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Especializado	250	36	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
25580	22170	Dia de Campo sobre Manejo Integrado de Pragas da soja	Extens„o	N„o avaliado no ano corrente	26/03/2008	10/03/2008	10/04/2008			Em tr‚mite para registro	7379213 - JERSON VANDERLEI CAR⁄S GUEDES	JERSON VANDERLEI CAR⁄S GUEDES	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral			03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
20993	18277	Divulgando o Manejo Integrado de Pragas - MIP	Extens„o	Avaliado	11/10/2005	11/10/2005	31/12/2011		26/12/2011	ConcluÌdo/Publicado	7379213 - JERSON VANDERLEI CAR⁄S GUEDES	JERSON VANDERLEI CAR⁄S GUEDES	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	2∫ Grau	230	250	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
19089	16610	MIP EM DEBATE	Extens„o	Avaliado fora do prazo	16/09/2004	13/09/2004	15/09/2004	500	21/03/2006	ConcluÌdo/Publicado	7379213 - JERSON VANDERLEI CAR⁄S GUEDES	JERSON VANDERLEI CAR⁄S GUEDES	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Especializado	250	36	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
19368	16883	MIP EM DEBATE - NAS CULTURAS DA SOJA	 MILHO	 FEIJ√O E ARROZ	Extens„o	Avaliado fora do prazo	17/12/2004	23/11/2004	29/11/2004	300	22/03/2006	ConcluÌdo/Publicado	7379213 - JERSON VANDERLEI CAR⁄S GUEDES	JERSON VANDERLEI CAR⁄S GUEDES	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	250	10	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa					
7367	6832	RESULTADOS DE PESQUISA COM MINADOR DAS FOLHAS DOS CITROS NA REGIAO DE SAN-TA MARIA.	Extens„o	Avaliado	24/06/1998	17/06/1998	17/06/1998	100		ConcluÌdo/Publicado	7379213 - JERSON VANDERLEI CAR⁄S GUEDES	JERSON VANDERLEI CAR⁄S GUEDES	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	150	1	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
23349	20292	Semin·rio: Manejo das pragas da soja no CONESUL:  Integrando pesquisa	 assistÍncia tÈcnica e produÁ„o: 23 e 24 de julho de 2007																														
																																	
																																	
	Extens„o	Avaliado	03/05/2007	03/05/2007	23/01/2009		26/01/2009	ConcluÌdo/Publicado	7379213 - JERSON VANDERLEI CAR⁄S GUEDES	JERSON VANDERLEI CAR⁄S GUEDES	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Especializado	450	470	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa									
20995	18279	UP SOJA SYNGENTA - Pacote TecnolÛgico Syngenta em Soja	Extens„o	N„o avaliado no ano corrente	11/10/2005	01/09/2005	01/09/2005			Indeferido	7379213 - JERSON VANDERLEI CAR⁄S GUEDES	JERSON VANDERLEI CAR⁄S GUEDES	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	40		03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
22347	19444	BANCO DE DADOS APLICADO ¿ DIVULGA«√O DE INFORMA«‘ES SOBRE FITOPATOLOGIA FLORESTAL NA INTERNET	Extens„o	Avaliado	25/07/2006	01/07/2006	30/06/2010		05/02/2015	ConcluÌdo/Publicado	1362038 - MARLOVE FATIMA BRIAO MUNIZ	MARLOVE FATIMA BRIAO MUNIZ	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	200	5	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	Paga bolsa de IniciaÁ„o CientÌfica							
23404	20338	2∞ Ciclo de Palestras Manejo Integrado de DoenÁas.																															
	Extens„o	Avaliado	09/05/2007	01/06/2007	31/05/2008	2500	16/12/2010	ConcluÌdo/Publicado	379105 - RICARDO SILVEIRO BALARDIN	RICARDO SILVEIRO BALARDIN	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral			03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa									
26479	22944	EDUCA«√O AMBIENTAL NAS ESCOLAS DO MUNICIPIO DE ITAARA/RS	Extens„o	Avaliado	23/06/2008	02/06/2008	31/12/2012		21/12/2012	ConcluÌdo/Publicado	379105 - RICARDO SILVEIRO BALARDIN	RICARDO SILVEIRO BALARDIN	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral			03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
10203	9635	XXXIII REUNIAO TECNICA ANUAL DO FEIJAO E NA IV REUNIAO SUL BRASILEIRA DO FEIJAO.	Extens„o	Avaliado	19/07/1999	27/06/2000	28/06/2000	12000		ConcluÌdo/Publicado	379105 - RICARDO SILVEIRO BALARDIN	RICARDO SILVEIRO BALARDIN	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
10220	9659	XXXVIII REUNIAO DE PESQUISA DE SOJA DA REGIAO SUL.	Extens„o	Avaliado	27/07/1999	25/07/2000	27/07/2000	35000		ConcluÌdo/Publicado	379105 - RICARDO SILVEIRO BALARDIN	RICARDO SILVEIRO BALARDIN	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
21317	18545	Manejo Integrado de DoenÁas	Extens„o	Avaliado	07/02/2006	01/02/2006	01/12/2008	5435	21/12/2012	ConcluÌdo/Publicado	379105 - RICARDO SILVEIRO BALARDIN	RICARDO SILVEIRO BALARDIN	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS	manejo	 doenÁas	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral			03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
23133	20115	Alternativas de controle agroecolÛgico de insetos-praga em cultivos em propriedades familiares integrantes da Rede Ecovida: N˙cleo Regional Centro - RS	Extens„o	N„o avaliado no ano corrente	19/03/2007	01/03/2007	31/12/2012	25418	12	23/11/2010	Renovado	382089 - SONIA THEREZA BASTOS DEQUECH	SONIA THEREZA BASTOS DEQUECH	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral			03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa						
24454	21252	Curso de IdentificaÁ„o de EspÈcies de Trichogramma do Brasil	Extens„o	Avaliado	14/08/2007	02/07/2007	31/12/2007	3050	17/01/2008	ConcluÌdo/Publicado	382089 - SONIA THEREZA BASTOS DEQUECH	SONIA THEREZA BASTOS DEQUECH	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	25	5	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
9579	9020	ESTAGIO DE VIVENCIA E ACOMPANHAMENTO EM REASSENTAMENTOS DO MOVIMENTO DOS PEQUENOS AGRICULTORES ATINGIDOS POR BARRAGENS-MAB.	Extens„o	Avaliado	12/04/1999	24/01/2000	15/02/2000	504	31		ConcluÌdo/Publicado	3005268 - SYLVIO HENRIQUE BIDEL DORNELLES	SYLVIO HENRIQUE BIDEL DORNELLES	03.35.00.00.0.0	DEPTO. DEFESA FITOSSANIT¡RIA - DFS		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	350	10	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa						
6690	6182	CONSULTORIA EM PLASTICULTURA PARA CULTIVOS NO SOLO.	Extens„o	Avaliado fora do prazo	17/04/1998	01/03/1998	31/12/1999	2195	04/06/2004	ConcluÌdo/Publicado	380907 - ARNO BERNARDO HELDWEIN	ARNO BERNARDO HELDWEIN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	900	6	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
8178	7662	ASSISTENCIA TECNICA EM POS COLHEITA DE FRUTAS E HORTALICAS	Extens„o	Avaliado	04/05/1999	01/04/1999	31/03/2000	2675		ConcluÌdo/Publicado	381066 - AURI BRACKMANN	AURI BRACKMANN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	3000	8	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
16036	13447	CURSO DE FISIOLOGIA POS-COLHEITA DE FRUTOS	Extens„o	Avaliado	24/10/1999	01/08/2002	30/11/2010	647	30/11/2010	ConcluÌdo/Publicado	381066 - AURI BRACKMANN	AURI BRACKMANN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
16512	14286	DIFUSAO DE TECNOLOGIA POS-COLHEITA PARA PRODUTORES DE FRUTAS E HORTALICAS	Extens„o	Avaliado	13/05/1999	22/04/2003	31/01/2004	5550	30/04/2004	ConcluÌdo/Publicado	381066 - AURI BRACKMANN	AURI BRACKMANN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	3000	14	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
9094	8507	SEMINARIO DE PLASTICULTURA E FRUTICULTURA	Extens„o	Avaliado	14/10/1999	01/08/1999	20/10/1999	1170		ConcluÌdo/Publicado	381066 - AURI BRACKMANN	AURI BRACKMANN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	500	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
18293	15832	ASSESSORIA DE PRODUTORES SOBRE O MANEJO P”S-COLHEITA DE FRUTAS HORTALI«AS E FLORES	Extens„o	Avaliado	10/05/2004	01/05/2004	30/11/2010	1236	30/11/2010	ConcluÌdo/Publicado	381066 - AURI BRACKMANN	AURI BRACKMANN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	1000	10	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	Paga bolsa de IniciaÁ„o CientÌfica							
6619	6106	PESQUISA E DIFUSAO EM HIDROPONIA	Extens„o	N„o avaliado no ano corrente	02/04/1998	01/01/1998	30/12/2006	253917	13/05/2004	Renovado	379653 - DANTON CAMACHO GARCIA	DANTON CAMACHO GARCIA	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	400	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
14089	13442	MECANISMOS FISICOS DE RESITENCIA PRE-FORMADOS EM CLONES DE BATATA(SOLANUM TUBEROSUM)RESISTENTES A REQUEIMA(PHYTOPHTHORA INFESTANS)	Extens„o	Avaliado fora do prazo	24/10/1999	01/03/2002	31/12/2005	1528	06/03/2007	ConcluÌdo/Publicado	1093223 - DILSON ANTONIO BISOGNIN	DILSON ANTONIO BISOGNIN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
13501	12832	MELHORAMENTO DO NIVEL TECNOLOGICO DO SISTEMA DE PRODUCAO DE BATATA DE PE- QUENOS PRODUTORES SOCIOS DA ASBAT	Extens„o	Avaliado	14/05/1999	01/05/2002	31/12/2004	2400	27/04/2005	ConcluÌdo/Publicado	1093223 - DILSON ANTONIO BISOGNIN	DILSON ANTONIO BISOGNIN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
3727	3377	PROGRAMA REGIONAL INTEGRADO DE PRODUCAO DE BATATA-SEMENTE	Extens„o	Avaliado	01/01/1995	01/02/1995	31/12/2007	5920	28/01/2008	Cancelado	1093223 - DILSON ANTONIO BISOGNIN	DILSON ANTONIO BISOGNIN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	360	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
22043	19184	SimpÛsio de Melhoramento GenÈtico e Previs„o de Epifitias em Batata																															
IX Reuni„o TÈcnica de Pesquisa e Extens„o da Cultura da Batata da Regi„o Sul	Extens„o	Avaliado	02/06/2006	02/06/2006	30/06/2008	5000	07/12/2010	ConcluÌdo/Publicado	1093223 - DILSON ANTONIO BISOGNIN	DILSON ANTONIO BISOGNIN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Especializado	150	150	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa									
12062	11389	UFSM VAI A ESCOLA - DIVULGACAO DO CURSO DE AGRONOMIA	Extens„o	Avaliado	05/07/1999	02/01/2001	31/12/2010	1048	11	01/12/2010	ConcluÌdo/Publicado	1220152 - ELENA BLUME	ELENA BLUME	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	500	14	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	Paga bolsa de IniciaÁ„o CientÌfica						
8183	7667	CONSULTORIA EM PLANEJAMENTO DA SISTEMATIZACAO DE AREAS DE VARZEA E INTRODUCAO DO SISTEMA DE SEMEADURA DE ARROZ IRRIGADO COM	Extens„o	Avaliado	04/05/1999	01/05/1999	01/04/2001	2315		Cancelado	380781 - ENIO MARCHESAN	ENIO MARCHESAN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	80	4	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
1780	1633	ENCONTRO SOBRE BICHEIRA NA RAIZ E BLUSONE EM ARROZ.	Extens„o	Avaliado	01/01/1993	01/04/1992	04/06/1992	0		ConcluÌdo/Publicado	380781 - ENIO MARCHESAN	ENIO MARCHESAN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
11066	10419	FORMACAO DE TECNICOS AGRICOLAS.	Extens„o	Avaliado	26/12/1999	20/11/2000	31/12/2009	86748	11/01/2010	ConcluÌdo/Publicado	380781 - ENIO MARCHESAN	ENIO MARCHESAN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
2854	2584	DIFUSAO DA PLASTICULTURA NA REGIAO DE SANTA MARIA.	Extens„o	Avaliado	01/01/1994	15/03/1994	31/12/1994	0		ConcluÌdo/Publicado	380689 - FLAVIO MIGUEL SCHNEIDER	FLAVIO MIGUEL SCHNEIDER	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
16157	13803	ELABORACAO DE PUBLICACAO DO DESENVOLVIMENTO DA METADE SUL	Extens„o	Avaliado	16/01/1999	15/01/2003	30/09/2003	4100		ConcluÌdo/Publicado	380689 - FLAVIO MIGUEL SCHNEIDER	FLAVIO MIGUEL SCHNEIDER	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	800	2	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
2994	2708	PLASTICULTURA NA REGIAO COREDE CENTRO	Extens„o	Avaliado	01/01/1994	01/01/1994	28/12/1995	0		Cancelado	380689 - FLAVIO MIGUEL SCHNEIDER	FLAVIO MIGUEL SCHNEIDER	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
1857	1700	PROJETO PAISAGISTICO DO PATRONATO AGRICOLA ANTONIO ALVES RAMOS.	Extens„o	Avaliado	01/01/1993	03/03/1992	30/10/1992	0		ConcluÌdo/Publicado	382518 - ITALO FILIPPI TEIXEIRA	ITALO FILIPPI TEIXEIRA	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
1953	1771	PROPOSTA DE ARBORIZACAO NO CONJUNTO HABITACIONAL TANCREDO NE VES	 STA. MARIA/RS	Extens„o	Avaliado	01/01/1993	01/03/1993	30/11/1993	0		ConcluÌdo/Publicado	382518 - ITALO FILIPPI TEIXEIRA	ITALO FILIPPI TEIXEIRA	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa						
4149	3844	ACOMPANHAMENTO E MELHORAMENTO DO SETOR DE OLERICULTURA DA CIDADE DOS MENINOS-CAMOBI-SANTA MARIA-RS.	Extens„o	Avaliado	29/04/1996	01/03/1996	31/12/1996	140		ConcluÌdo/Publicado	379298 - JERONIMO LUIZ ANDRIOLO	JERONIMO LUIZ ANDRIOLO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
22428	19520	DIFUS√O DE TECNOLOGIA PARA O CULTIVO HIDROP‘NICO DO MORANGUEIRO NO ESTADO DO RIO GRANDE DO SUL	Extens„o	Avaliado	21/08/2006	01/01/2006	30/09/2008	2000	13/01/2009	ConcluÌdo/Publicado	379298 - JERONIMO LUIZ ANDRIOLO	JERONIMO LUIZ ANDRIOLO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Especializado	500	10	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
7830	7316	Manejo da adubacao do pepino para conserva na regiao do Vale do Taquari.	Extens„o	Avaliado	18/12/1998	02/04/1998	01/12/2000	1480		ConcluÌdo/Publicado	379298 - JERONIMO LUIZ ANDRIOLO	JERONIMO LUIZ ANDRIOLO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	800	2400	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
11770	11111	REDACAO DO LIVRO INTITULADO OLERICOLA GERAL: PRINCIPIOS E TECNICAS	Extens„o	Avaliado	15/05/1999	02/01/2001	30/12/2001	0		ConcluÌdo/Publicado	379298 - JERONIMO LUIZ ANDRIOLO	JERONIMO LUIZ ANDRIOLO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
23982	20846	SEMIN¡RIO SOBRE CULTIVO HIDROP‘NICO DO MORANGUEIRO	Extens„o	Avaliado	05/06/2007	01/03/2007	31/12/2007	1620	5	13/12/2007	ConcluÌdo/Publicado	379298 - JERONIMO LUIZ ANDRIOLO	JERONIMO LUIZ ANDRIOLO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Especializado	500	30	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa						
7819	7307	TRANSFERENCIA DE TECNOLOGIA PARA O CULTIVO DE HORTALICAS EM AMBIENTE PROTEGIDO.	Extens„o	Avaliado	17/12/1998	02/04/1998	30/12/2000	1480		ConcluÌdo/Publicado	379298 - JERONIMO LUIZ ANDRIOLO	JERONIMO LUIZ ANDRIOLO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	800	2400	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
8158	7643	TRANSFERENCIA DE TECNOLOGIA PARA O CULTIVO DO TOMATEIRO EM SUBSTRATOS	Extens„o	Avaliado	03/05/1999	02/04/1998	30/12/2000	1480		ConcluÌdo/Publicado	379298 - JERONIMO LUIZ ANDRIOLO	JERONIMO LUIZ ANDRIOLO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	2400	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
6671	6164	TRANSFERENCIA DE TECNOLOGIA PARA O CULTIVO DO TOMATEIRO EM SUBSTRATOS.	Extens„o	Avaliado	15/04/1998	01/03/1998	31/12/1999	1620		Cancelado	379298 - JERONIMO LUIZ ANDRIOLO	JERONIMO LUIZ ANDRIOLO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	100	500	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
6663	6157	TREINAMENTO EM DESENVOLVIMENTO E APLICACAO DE MODELOS DE CRESCIMENTO	 DE- SENVOLVIMENTO E MANEJO DAS CULTURAS DE HORTALICAS	Extens„o	Avaliado	15/04/1998	18/05/1998	22/05/1998	4276		ConcluÌdo/Publicado	379298 - JERONIMO LUIZ ANDRIOLO	JERONIMO LUIZ ANDRIOLO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	22	30	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa						
17167	14703	Desenvolvimento do setor de horticultura atravÈs de atividades de ensino	 pesquisa e extens„o.	Extens„o	Avaliado	28/10/2003	01/11/2003	02/12/2005	12000	10/02/2006	ConcluÌdo/Publicado	380695 - JORGE NADIR TREVISAN	JORGE NADIR TREVISAN	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	3∫ grau		70	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa						
6838	6327	INSTALACAO DE UM SISTEMA DE PRODUCAO DE MUDAS DE PLANTAS ORNAMENTAIS E HORTALICAS PARA GERACAO DE RENDA IMEDIATA PARA FAMIL	Extens„o	Avaliado	06/05/1998	01/05/1998	31/12/1999	9105		Cancelado	381170 - JUAREZ FELISBERTO	JUAREZ FELISBERTO	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	90	19	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa							
23135	20118	Aproximando a Biotecnologia Vegetal do Ensino P˙blico Fundamental da regi„o central do RS	Extens„o	Avaliado	19/03/2007	19/03/2007	31/12/2009	348936	17	12/01/2010	ConcluÌdo/Publicado	1096373 - LIA REJANE SILVEIRA REINIGER	LIA REJANE SILVEIRA REINIGER	03.36.00.00.0.0	DEPTO. FITOTECNIA - FTT		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	100	200	03.00.00.00.0.0 - CENTRO DE CI NCIAS RURAIS - CCR	N„o paga nenhum tipo de bolsa						
